"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060173","GO:0060173","limb development","23/497","222/25730",0.103603603603604,5.36362318052459,9.1641191513482,7.1730253964906e-11,1.2923228247632e-08,8.36149864268123e-09,"Dmd/Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Nfia/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Rspo3/Dlx6/Sall3/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",23
"GO:0030326","GO:0030326","embryonic limb morphogenesis","19/497","147/25730",0.129251700680272,6.69144116399075,9.71203830433472,7.24829763343917e-11,1.2923228247632e-08,8.36149864268123e-09,"Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Dlx6/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",19
"GO:0035113","GO:0035113","embryonic appendage morphogenesis","19/497","147/25730",0.129251700680272,6.69144116399075,9.71203830433472,7.24829763343917e-11,1.2923228247632e-08,8.36149864268123e-09,"Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Dlx6/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",19
"GO:0010977","GO:0010977","negative regulation of neuron projection development","20/497","165/25730",0.121212121212121,6.27522712029754,9.54037487759347,7.47721579187525e-11,1.2923228247632e-08,8.36149864268123e-09,"Sema6d/Nlgn1/Pmp22/Wnt5a/Thy1/Draxin/Adcy6/Arf6/Runx1t1/Sema5a/Ntm/Fat3/Neo1/Kank1/Ptk2/Rap1gap2/Efna1/Epha4/Rgma/Lrig2",20
"GO:0002064","GO:0002064","epithelial cell development","25/497","264/25730",0.0946969696969697,4.90252118773246,8.94482956032372,7.51014605360824e-11,1.2923228247632e-08,8.36149864268123e-09,"Dmd/Amotl2/Podxl/Magi2/Pgr/Bmp4/Wnt5a/Rarb/Myo1e/Epha2/Cldn5/Onecut2/Cryaa/Fat1/Fndc3a/Tjp2/Nr5a2/Sox3/Onecut1/Epas1/Abcb1b/Cftr/Six3/Fzd5/Psap",25
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","32/497","431/25730",0.074245939675174,3.84375860732843,8.35573946503368,1.01513781396558e-10,1.68212095543779e-08,1.08835438144458e-08,"Tacstd2/Bmpr1a/Ptprk/Osr1/Itpr1/Pgr/Sfrp1/Bmp4/Wnt5a/Scn5a/Nupr1/Nr2f2/Nkx2-9/Snai2/Erbb4/Sulf2/Dlx5/Sema5a/Pdcl3/Gata3/Dlx6/Tgfb3/Klf9/Phox2b/Vdr/Pdx1/Stxbp4/Osr2/Wnt7a/Thbs1/Itgb3/Rreb1",32
"GO:0031589","GO:0031589","cell-substrate adhesion","30/497","383/25730",0.0783289817232376,4.05514024092335,8.45419886075403,1.08435249654575e-10,1.7326403819806e-08,1.12104111484993e-08,"Dmd/Tacstd2/Col16a1/Ptprk/Npnt/Sfrp1/Spry4/Thy1/Onecut2/Pkp2/Itga3/Prkce/Col8a1/Ptprj/Sirpa/Kank1/Tbcd/Antxr1/Ptk2/Vwf/Onecut1/Mmp14/Efna1/Bst1/Limch1/Bcr/Rin2/Thbs1/Itgb3/Rreb1",30
"GO:0009952","GO:0009952","anterior/posterior pattern specification","23/497","238/25730",0.0966386554621849,5.00304347090949,8.70727044998184,2.90117218249256e-10,4.37437952163252e-08,2.8302810823917e-08,"Mib1/Bmpr1a/Hoxb8/Msx1/Axin2/Osr1/Sfrp1/Bmp4/Wnt5a/Foxb1/Nr2f2/Hoxc5/Fezf2/En1/Hoxb6/Hoxb2/Zbtb16/Pax1/Ror2/Six3/Fzd5/Pbx1/Fezf1",23
"GO:0099172","GO:0099172","presynapse organization","13/497","65/25730",0.2,10.3541247484909,10.5972799051844,2.93320039447867e-10,4.37437952163252e-08,2.8302810823917e-08,"Il1rapl2/Farp1/Nlgn1/Mdga2/Grid2/Arhgef7/Daam1/Arf6/Ntrk3/Cbln1/Pclo/Wnt7a/Fzd5",13
"GO:0099173","GO:0099173","postsynapse organization","27/497","328/25730",0.0823170731707317,4.26160622270207,8.34333529566643,3.14509600007329e-10,4.40879927137666e-08,2.85255111316514e-08,"Farp1/Nlgn1/Magi2/Wnt5a/Grid2/Gdnf/Nrxn3/Arhgap22/Itga3/Arhgef7/Myo5b/Erbb4/Kalrn/Lhfpl4/Arf6/Asic2/Ntrk3/Cbln1/Actbl2/Map1b/Efna1/Epha4/Rapgef4/Ror2/Wnt7a/Chrna7/Itgb3",27
