"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060043","GO:0060043","regulation of cardiac muscle cell proliferation","5/416","55/25730",0.0909090909090909,5.62281468531468,4.39957103089004,0.00193193750150273,0.0263648795037306,0.0196232425931954,"Notch1/Tgfbr2/Dyrk1a/Vgll4/Foxp1",5
"GO:0046660","GO:0046660","female sex differentiation","9/416","171/25730",0.0526315789473684,3.25531376518219,3.79324442085051,0.00193374983865863,0.0263648795037306,0.0196232425931954,"Notch1/Nos3/Vegfa/Kit/Sgpl1/Runx1/Pde4d/Tiparp/Stat5b",9
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","10/416","205/25730",0.0487804878048781,3.0171200750469,3.71709394683515,0.00194700458431179,0.0263791655592337,0.0196338756299515,"Syk/Nod2/Cyba/Flt3/Gpnmb/Ptpn6/Fcgr1/Ptpn11/Il4/Foxp1",10
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","10/416","205/25730",0.0487804878048781,3.0171200750469,3.71709394683515,0.00194700458431179,0.0263791655592337,0.0196338756299515,"Syk/Nod2/Cyba/Flt3/Gpnmb/Ptpn6/Fcgr1/Ptpn11/Il4/Foxp1",10
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","11/416","241/25730",0.045643153526971,2.82307293329078,3.64513734564986,0.00199789289326343,0.026914347149202,0.0200322085019025,"Dynlt1b/Cyth1/Pard3/Rhoq/Cenpa/Dock8/Frmd4a/Ust/Parvb/Pdcd6ip/Sh3bp1",11
"GO:0141188","GO:0141188","nucleic acid catabolic process","15/416","393/25730",0.0381679389312977,2.36072372284204,3.48470779409024,0.00200405464535099,0.026914347149202,0.0200322085019025,"Ints1/Vegfa/Gtpbp1/Syncrip/Zfp36l2/Exosc7/Traf5/E2f1/Pum1/Zc3hav1/Sidt2/Snd1/Btg2/Fus/Pnrc2",15
"GO:0032688","GO:0032688","negative regulation of interferon-beta production","3/416","16/25730",0.1875,11.5970552884615,5.43548251038223,0.00200909073691631,0.026914347149202,0.0200322085019025,"Yy1/Rel/Relb",3
"GO:0030010","GO:0030010","establishment of cell polarity","9/416","172/25730",0.0523255813953488,3.23638752236136,3.77246815126284,0.00201213034844699,0.026914347149202,0.0200322085019025,"Dynlt1b/Cyth1/Pard3/Rhoq/Cenpa/Dock8/Frmd4a/Ust/Sh3bp1",9
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","10/416","206/25730",0.0485436893203883,3.00247386109037,3.69916607008446,0.00201764194269816,0.026914347149202,0.0200322085019025,"Vegfa/Gtpbp1/Syncrip/Zfp36l2/Traf5/E2f1/Pum1/Zc3hav1/Btg2/Fus",10
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","12/416","278/25730",0.0431654676258993,2.6698256779192,3.58847815481223,0.00202910668854749,0.0269839972550838,0.020084048713202,"Pde10a/Cd44/Dpys/Prkcd/Psap/Prkag2/P2rx7/Gck/Pde4d/Fbxo17/Zbtb7a/Nudt15",12
